"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2014-08-27,"VALLE DEL CAUCA","GUADALAJARA DE BUGA",0.001,"KILOGRAMO",3.819854318,-75.98312419
2014-08-27,"CORDOBA","MONTERIA",0.006,"KILOGRAMO",8.584698016,-75.95055079
2014-08-27,"ATLANTICO","BARRANQUILLA",0.133,"KILOGRAMO",10.98152051,-74.82771544
2014-08-27,"ATLANTICO","BARRANQUILLA",0.285,"KILOGRAMO",10.98152051,-74.82771544
2014-08-27,"ATLANTICO","BARRANQUILLA",0.269,"KILOGRAMO",10.98152051,-74.82771544
2014-08-27,"BOLIVAR","CARTAGENA",0.064,"KILOGRAMO",10.46343362,-75.45889915
2014-08-27,"BOLIVAR","CARTAGENA",0.08,"KILOGRAMO",10.46343362,-75.45889915
2014-08-27,"NORTE DE SANTANDER","CUCUTA",0.01,"KILOGRAMO",8.112041811,-72.48862641
2014-08-27,"ANTIOQUIA","MEDELLIN",0.03,"KILOGRAMO",6.257590259,-75.61103107
2014-08-27,"ANTIOQUIA","MEDELLIN",0.05,"KILOGRAMO",6.257590259,-75.61103107
2014-08-27,"BOLIVAR","CARTAGENA",0.15,"KILOGRAMO",10.46343362,-75.45889915
2014-08-27,"VALLE DEL CAUCA","TULUA",0.155,"KILOGRAMO",4.02840797,-76.03250379
2014-08-27,"SUCRE","SINCELEJO",0.02,"KILOGRAMO",9.316673928,-75.43174967
2014-08-27,"VALLE DEL CAUCA","FLORIDA",0.001,"KILOGRAMO",3.304104295,-76.16477307
2014-08-27,"VALLE DEL CAUCA","FLORIDA",0.002,"KILOGRAMO",3.304104295,-76.16477307
2014-08-27,"VALLE DEL CAUCA","PALMIRA",0.001,"KILOGRAMO",3.558392876,-76.22779972
2014-08-27,"VALLE DEL CAUCA","PALMIRA",0.003,"KILOGRAMO",3.558392876,-76.22779972
2014-08-27,"VALLE DEL CAUCA","PALMIRA",0.002,"KILOGRAMO",3.558392876,-76.22779972
2014-08-27,"VALLE DEL CAUCA","PRADERA",0.006,"KILOGRAMO",3.42063665,-76.17841841
2014-08-27,"VALLE DEL CAUCA","EL CERRITO",0.005,"KILOGRAMO",3.656072873,-76.30841784
2014-08-27,"VALLE DEL CAUCA","EL CERRITO",0.01,"KILOGRAMO",3.656072873,-76.30841784
2014-08-27,"VALLE DEL CAUCA","PALMIRA",0.003,"KILOGRAMO",3.558392876,-76.22779972
2014-08-27,"VALLE DEL CAUCA","CALIMA",0.003,"KILOGRAMO",3.923271619,-76.64260484
2014-08-27,"VALLE DEL CAUCA","DAGUA",0.005,"KILOGRAMO",3.649822218,-76.72039347
2014-08-27,"VALLE DEL CAUCA","EL CAIRO",0.004,"KILOGRAMO",4.756063701,-76.21502826
2014-08-27,"VALLE DEL CAUCA","GUACARI",0.004,"KILOGRAMO",3.759414991,-76.34518277
2014-08-27,"VALLE DEL CAUCA","GUACARI",0.002,"KILOGRAMO",3.759414991,-76.34518277
2014-08-27,"VALLE DEL CAUCA","LA VICTORIA",0.013,"KILOGRAMO",4.483511142,-75.96677303
2014-08-27,"VALLE DEL CAUCA","RESTREPO",0.002,"KILOGRAMO",3.806494973,-76.53489853
2014-08-27,"RISARALDA","PEREIRA",0.26,"KILOGRAMO",4.803662773,-75.79579093
2014-08-27,"ANTIOQUIA","EL CARMEN DE VIBORAL",0.005,"KILOGRAMO",5.978078841,-75.2635361
2014-08-27,"VALLE DEL CAUCA","CALI",0.001,"KILOGRAMO",3.399043723,-76.57649259
2014-08-27,"VALLE DEL CAUCA","CALI",0.3,"KILOGRAMO",3.399043723,-76.57649259
2014-08-27,"VALLE DEL CAUCA","VIJES",0.002,"KILOGRAMO",3.74365889,-76.47064718
2014-08-27,"VALLE DEL CAUCA","VIJES",0.003,"KILOGRAMO",3.74365889,-76.47064718
2014-08-27,"ANTIOQUIA","GUATAPE",0.002,"KILOGRAMO",6.236329826,-75.15651272
2014-08-27,"CUNDINAMARCA","GUATAQUI",0.002,"KILOGRAMO",4.516381655,-74.78257788
2014-08-27,"ANTIOQUIA","JERICO",0.003,"KILOGRAMO",5.769820536,-75.76488256
2014-08-27,"BOGOTA D.C.","BOGOTA D.C.",0.199,"KILOGRAMO",4.316107698,-74.1810727
2014-08-27,"BOGOTA D.C.","BOGOTA D.C.",0.012,"KILOGRAMO",4.316107698,-74.1810727
2014-08-27,"BOGOTA D.C.","BOGOTA D.C.",0.12,"KILOGRAMO",4.316107698,-74.1810727
2014-08-27,"SUCRE","COROZAL",0.002,"KILOGRAMO",9.160624283,-75.23858178
2014-08-27,"VALLE DEL CAUCA","CALI",0.001,"KILOGRAMO",3.399043723,-76.57649259
2014-08-27,"ANTIOQUIA","SAN RAFAEL",0.004,"KILOGRAMO",6.31074453,-74.99858652
2014-08-27,"ANTIOQUIA","SAN ROQUE",0.008,"KILOGRAMO",6.466165211,-74.9450732
2014-08-27,"ANTIOQUIA","SANTAFE DE ANTIOQUIA",0.006,"KILOGRAMO",6.535711576,-75.90426658
2014-08-27,"ANTIOQUIA","SANTO DOMINGO",0.005,"KILOGRAMO",6.481044132,-75.14260097
2014-08-27,"ANTIOQUIA","GIRARDOTA",0.015,"KILOGRAMO",6.379745895,-75.44795744
2014-08-27,"BOGOTA D.C.","BOGOTA D.C.",0.01,"KILOGRAMO",4.316107698,-74.1810727
2014-08-27,"ANTIOQUIA","URRAO",0.002,"KILOGRAMO",6.33534134,-76.25906482
2014-08-27,"ATLANTICO","SABANALARGA",0.01,"KILOGRAMO",10.62250777,-74.95510542
2014-08-27,"NORTE DE SANTANDER","VILLA DEL ROSARIO",0.012,"KILOGRAMO",7.718635863,-72.48361176
2014-08-27,"MAGDALENA","ZONA BANANERA",0.219,"KILOGRAMO",10.79634658,-74.17798317
2014-08-27,"ATLANTICO","SOLEDAD",0.23,"KILOGRAMO",10.9069066,-74.7784249
2014-08-27,"TOLIMA","CARMEN DE APICALA",0.05,"KILOGRAMO",4.123416795,-74.74700246
2014-08-27,"SANTANDER","FLORIDABLANCA",0.015,"KILOGRAMO",7.079704598,-73.0679925
2014-08-27,"SANTANDER","FLORIDABLANCA",0.009,"KILOGRAMO",7.079704598,-73.0679925
2014-08-27,"SANTANDER","FLORIDABLANCA",0.011,"KILOGRAMO",7.079704598,-73.0679925
2014-08-27,"SANTANDER","FLORIDABLANCA",0.008,"KILOGRAMO",7.079704598,-73.0679925
2014-08-27,"PUTUMAYO","PUERTO ASIS",0.003,"KILOGRAMO",0.433884539,-76.52158203
2014-08-27,"TOLIMA","ARMERO",0.0062,"KILOGRAMO",5.006758956,-74.84750095
2014-08-27,"ARAUCA","ARAUCA",0.004,"KILOGRAMO",6.796280825,-70.50921153
2014-08-27,"BOLIVAR","MOMPOS",0.041,"KILOGRAMO",9.142512064,-74.54519906
2014-08-27,"NARIÑO","SAMANIEGO",1.845,"KILOGRAMO",1.430555262,-77.69179559
2014-08-27,"PUTUMAYO","PUERTO ASIS",0.023,"KILOGRAMO",0.433884539,-76.52158203
2014-08-28,"QUINDIO","QUIMBAYA",0.003,"KILOGRAMO",4.610273497,-75.79205087
2014-08-28,"ANTIOQUIA","ANDES",0.014,"KILOGRAMO",5.604993248,-75.94128391
2014-08-28,"HUILA","SUAZA",0.0067,"KILOGRAMO",1.870992095,-75.80798471
2014-08-28,"VALLE DEL CAUCA","CANDELARIA",0.008,"KILOGRAMO",3.382091564,-76.38317663
2014-08-28,"ANTIOQUIA","CISNEROS",0.011,"KILOGRAMO",6.550065431,-75.08254116
2014-08-28,"ATLANTICO","BARRANQUILLA",0.15,"KILOGRAMO",10.98152051,-74.82771544
2014-08-28,"QUINDIO","QUIMBAYA",0.0033,"KILOGRAMO",4.610273497,-75.79205087
2014-08-28,"CORDOBA","MONTERIA",0.005,"KILOGRAMO",8.584698016,-75.95055079
2014-08-28,"VALLE DEL CAUCA","GUADALAJARA DE BUGA",0.001,"KILOGRAMO",3.819854318,-75.98312419
2014-08-28,"ATLANTICO","BARRANQUILLA",0.505,"KILOGRAMO",10.98152051,-74.82771544
2014-08-28,"ATLANTICO","BARRANQUILLA",0.21,"KILOGRAMO",10.98152051,-74.82771544
2014-08-28,"ATLANTICO","BARRANQUILLA",0.12,"KILOGRAMO",10.98152051,-74.82771544
2014-08-28,"CAQUETA","CARTAGENA DEL CHAIRA",0.014,"KILOGRAMO",0.647693081,-74.27235499
2014-08-28,"CASANARE","YOPAL",0.002,"KILOGRAMO",5.242744761,-72.25802857
